"YEAR","CASEID","FAMINCOME","HH_CHILD","PERNUM","LINENO","DATE","WT06","AGE","SEX","RACE","MARST","POPSTAT","EDUC","EMPSTAT","RETIRED","FULLPART","HOURWAGE_CPS8","SPOUSEPRES","SPSEX","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_HHACT","BLS_LEIS","BLS_OTHER","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","BLS_WORK_SEARCH"
2019,20190403191046,14,0,1,1,20190412,21528265.97560800,34,2,100,1,1,41,1,99,1,999.99,1,1,0,0,0,0,5,295,50,440,130,0,460,0
2019,20190403191051,6,0,1,1,20190421,1356034.360839000,73,2,100,3,1,13,5,1,99,999.99,3,99,0,445,0,0,0,420,0,565,0,0,0,0
2019,20190403191059,14,0,1,1,20190407,2437724.209325000,62,1,100,4,1,41,1,99,1,999.99,3,99,0,0,0,0,0,355,0,630,0,0,395,0
2019,20190403191062,6,0,1,1,20190415,11713415.72546600,60,2,100,4,1,30,1,99,1,10.0,3,99,0,0,30,0,75,360,0,465,0,15,460,0
2019,20190403191064,15,1,1,1,20190407,3822829.396680000,42,2,100,1,1,41,1,99,1,999.99,1,1,45,0,0,0,342,185,30,640,0,105,0,0
2019,20190403191070,5,0,1,1,20190416,8664813.928008000,85,2,100,3,1,21,5,1,99,999.99,3,99,0,0,0,0,110,193,40,682,305,20,0,0
2019,20190403191092,13,0,1,1,20190402,18462264.92549300,48,2,100,1,1,30,1,99,1,999.99,1,1,0,0,30,0,0,0,0,655,60,0,628,0
2019,20190403191099,15,0,1,1,20190401,6843027.281734000,80,2,100,4,1,30,5,1,99,999.99,3,99,0,20,30,0,60,580,10,575,155,0,0,0
2019,20190403191102,15,1,1,1,20190424,9254055.354789000,30,2,100,1,1,31,1,99,2,23.0,1,1,195,0,0,0,325,185,0,655,0,0,0,0
2019,20190403191103,6,1,1,1,20190427,7088200.005250000,55,1,100,1,1,21,1,99,1,13.05,1,2,0,0,0,0,60,220,0,510,0,0,630,0
2019,20190403191105,16,0,1,1,20190427,10288162.38799200,64,2,100,1,1,41,2,99,1,999.99,1,1,0,0,30,0,90,710,0,450,35,0,0,0
2019,20190403191114,15,0,1,1,20190408,20973345.08920400,58,2,100,1,1,40,1,99,1,999.99,1,1,0,0,10,0,51,245,0,600,60,0,454,0
2019,20190403191116,16,0,1,1,20190414,17465882.22824900,56,1,100,1,1,21,1,99,1,21.9,1,2,0,0,0,0,440,245,0,615,5,0,75,0
2019,20190403191133,13,1,1,1,20190426,8116237.483232000,51,1,100,1,1,30,1,99,1,999.99,1,2,100,0,0,0,20,387,0,730,40,0,0,0
2019,20190403191136,16,0,1,1,20190418,9663347.850239000,63,1,100,1,1,42,1,99,2,999.99,1,2,0,0,120,0,120,315,0,525,0,0,480,0
2019,20190403191178,13,0,1,1,20190413,3005266.813042000,46,1,100,4,1,30,2,99,1,31.8,3,99,0,135,0,0,0,235,0,600,0,0,0,0
2019,20190403191193,16,1,1,1,20190414,5954768.408366000,47,2,110,1,1,40,1,99,1,1.0,1,1,159,0,30,0,163,160,0,895,0,3,0,0
